run_id,temperature,rationality,consensus_reached,rounds_to_consensus,final_leading_margin,polarisation_start,polarisation_peak,polarisation_final,max_gridlock_span,gridlock_end_round,mean_switches_per_agent,run_outcome,winner_name
temp_0_50_rat_0_75_49_run_8_kverlaan,0.5,0.75,True,22,17,0.004962888535806826,0.004962888535806826,0.0024350731111526898,0,,73.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_39_run_6_mbelkhatir,0.5,0.75,True,4,36,0.0016002641409193408,0.00402358898423279,0.0030627128473960045,0,,67.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_50_run_8_spoulain,0.5,0.75,True,26,18,0.004515699713816818,0.004515699713816818,0.0027924926702452076,3,5.0,90.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_9_run_122_spoulain1,0.5,0.75,True,6,18,0.0021201832938611926,0.005226953822365083,0.005226953822365083,0,,68.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_29_run_2_spoulain,0.5,0.75,True,4,16,0.0013200099680343391,0.0047271330708253375,0.0031492664345573284,0,,63.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_21_run_18_kverlaan,0.5,0.75,True,32,19,0.0036290727890106234,0.0036290727890106234,0.0029332256700383736,0,,110.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_46_run_7_kverlaan,0.5,0.75,True,6,20,0.004357260789698494,0.0059447335474281295,0.003328722558250066,0,,72.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_38_run_5_spoulain,0.5,0.75,True,26,18,0.002064843034710621,0.002269292112640707,0.0022037493245941992,3,16.0,75.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_48_run_85_spoulain1,0.5,0.75,True,13,17,0.0014580849701045053,0.003018414335750347,0.003018414335750347,0,,63.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_3_run_10_spoulain,0.5,0.75,True,30,15,0.0016378154027823046,0.004271961888814845,0.002152339143820828,0,,86.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_32_run_3_spoulain,0.5,0.75,True,16,18,0.0018783449726700668,0.004236947509126767,0.003210793650609547,0,,84.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_52_run_9_mbelkhatir,0.5,0.75,True,2,16,0.001470044364516638,0.004454513472004609,0.0033771990542719277,0,,55.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_10_run_123_spoulain1,0.5,0.75,True,10,17,0.0009251192282248648,0.0026379105238311536,0.00243420864812115,0,,67.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_42_run_72_spoulain1,0.5,0.75,True,14,15,0.000920793412644459,0.003877873077255113,0.0027713310335238574,0,,63.0,CONSENSUS,Luis Antonio Gokim Tagle
temp_0_50_rat_0_75_53_run_9_spoulain,0.5,0.75,True,4,22,0.0012342432428447958,0.006004490689216696,0.006004490689216696,0,,64.0,CONSENSUS,Luis Antonio Gokim Tagle
